check,file,detail
csrf,admin/acpmanage.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/adduser.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/backup.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/bannedemails.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/bans.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/block.settings.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/bonusmanage.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/categories.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/cheaters.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/class_config.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/cleanup_manager.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/cloudview.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/datareset.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/deathrow.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/delacct.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/edit_moods.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/editlog.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/findnotconnectable.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/floodlimit.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/forum_config.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/forum_manage.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/freeleech.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/grouppm.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/hit_and_run_settings.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/hnrwarn.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/inactive.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/invite_tree.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/leechwarn.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/log_viewer.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/manage_images.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/mass_bonus_for_members.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/mega_search.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/modded_torrents.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/modtask.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/news.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/over_forums.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/polls_manager.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/promo.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/reputation_settings.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/reset.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/site_settings.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/sysoplog.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/themes.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/traceroute.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/trivia_config.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/upgrade_database.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/uploadapps.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/usersearch.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,admin/watched_users.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/autocomplete.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/bookmarks.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/checkport.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/checkports.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/cooker_notify.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/descr_format.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/ebook_lookup.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/imdb_lookup.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/isbn_lookup.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/like.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/member_input.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/offer_notify.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/offer_status.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/offer_vote.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/rating.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/request_notify.php,Missing Csrf::verify/PU239_ROUTED coverage
csrf,public/ajax/request_vote.php,Missing Csrf::verify/PU239_ROUTED coverage
