file,legacy_found(mysqli|sql_query|sqlesc|function_*),select_star(boolean),csrf_todo(boolean),manual_review_notes
chat/lib/class/AJAXChat.php,none,false,false,
chat/lib/class/AJAXChatDataBase.php,none,false,false,
chat/lib/class/AJAXChatEncoding.php,none,false,false,
chat/lib/class/AJAXChatFileSystem.php,none,false,false,
chat/lib/class/AJAXChatHTTPHeader.php,none,false,false,
chat/lib/class/AJAXChatLanguage.php,none,false,false,
chat/lib/class/AJAXChatString.php,none,false,false,
chat/lib/class/AJAXChatTemplate.php,none,false,false,
chat/lib/class/CustomAJAXChat.php,none,false,false,
chat/lib/class/CustomAJAXChatInterface.php,none,false,false,
chat/lib/classes.php,none,false,false,
chat/lib/config.php,none,false,false,
chat/lib/custom.php,none,false,false,
chat/lib/data/channels.php,none,false,false,
chat/lib/data/users.php,none,false,false,
chat/lib/lang/ar.php,none,false,false,
chat/lib/lang/bg.php,none,false,false,
chat/lib/lang/ca.php,none,false,false,
chat/lib/lang/cy.php,none,false,false,
chat/lib/lang/cz.php,none,false,false,
chat/lib/lang/da.php,none,false,false,
chat/lib/lang/de.php,none,false,false,
chat/lib/lang/el.php,none,false,false,
chat/lib/lang/en.php,none,false,false,
chat/lib/lang/es.php,none,false,false,
chat/lib/lang/et.php,none,false,false,
chat/lib/lang/fa.php,none,false,false,
chat/lib/lang/fi.php,none,false,false,
chat/lib/lang/fr.php,none,false,false,
chat/lib/lang/gl.php,none,false,false,
chat/lib/lang/he.php,none,false,false,
chat/lib/lang/hr.php,none,false,false,
chat/lib/lang/hu.php,none,false,false,
chat/lib/lang/in.php,none,false,false,
chat/lib/lang/it.php,none,false,false,
chat/lib/lang/ja.php,none,false,false,
chat/lib/lang/ka.php,none,false,false,
chat/lib/lang/kr.php,none,false,false,
chat/lib/lang/mk.php,none,false,false,
chat/lib/lang/nl-be.php,none,false,false,
chat/lib/lang/nl.php,none,false,false,
chat/lib/lang/no.php,none,false,false,
chat/lib/lang/pl.php,none,false,false,
chat/lib/lang/pt-br.php,none,false,false,
chat/lib/lang/pt-pt.php,none,false,false,
chat/lib/lang/ro.php,none,false,false,
chat/lib/lang/ru.php,none,false,false,
chat/lib/lang/sk.php,none,false,false,
chat/lib/lang/sl.php,none,false,false,
chat/lib/lang/sr.php,none,false,false,
chat/lib/lang/sv.php,none,false,false,
chat/lib/lang/th.php,none,false,false,
chat/lib/lang/tr.php,none,false,false,
chat/lib/lang/uk.php,none,false,false,
chat/lib/lang/zh-tw.php,none,false,false,
chat/lib/lang/zh.php,none,false,false,
