file,returns_array,side_effects_removed,legacy_patterns_removed,uses_env,has_dist_template,hardcoded_secrets,manual_review_notes
config/app.php,true,true,true,true,true,false,
config/cache.php,true,true,true,true,true,false,
config/classes.php,true,true,true,false,true,false,
config/database.php,true,true,true,true,true,false,
config/definitions.php,true,true,true,false,false,false,
config/emoticons.php,true,true,true,false,false,false,
config/localization.php,true,true,true,true,true,false,
config/mail.php,true,true,true,true,true,false,
config/paths.php,true,true,true,true,true,false,
config/permissions.php,true,true,true,false,true,false,
config/services.php,true,true,true,true,true,false,
config/session.php,true,true,true,true,true,false,
config/storage.php,true,true,true,true,true,false,
config/subtitles.php,true,true,true,false,false,false,
config/system.php,true,true,true,true,true,false,
config/tracker.php,true,true,true,true,true,false,
config/whereis.php,true,true,true,false,false,false,
