file,type,changed,notes
bin/clear_cache.php,cli,true,Retargeted to layered CLI bootstrap
bin/functions.php,cli,true,Shared CLI helper now loads layered bootstrap
bin/get_timestamp.php,cli,true,Retargeted to layered CLI bootstrap
bin/import_tables.php,cli,true,Retargeted to layered CLI bootstrap
bin/install.php,cli,true,Retargeted to layered CLI bootstrap
bin/jobby.php,cli,true,Retargeted to layered CLI bootstrap
bin/mysql_drop_fks.php,cli,true,Retargeted to layered CLI bootstrap
bin/optimize_resize_images.php,cli,true,Retargeted to layered CLI bootstrap
bin/remove_altered_images.php,cli,true,Retargeted to layered CLI bootstrap
bin/remove_torrents.php,cli,true,Retargeted to layered CLI bootstrap
bin/rename_image_hashes.php,cli,true,Retargeted to layered CLI bootstrap
bin/resize_multi_threads.php,cli,true,Retargeted to layered CLI bootstrap
bin/set_perms.php,cli,true,Retargeted to layered CLI bootstrap
bin/uglify.php,cli,true,Retargeted to layered CLI bootstrap
bin/update_db.php,cli,true,Retargeted to layered CLI bootstrap
bin/usersfix.php,cli,true,Retargeted to layered CLI bootstrap
bin/validate_images.php,cli,true,Retargeted to layered CLI bootstrap
public/ajax/ajax_tooltips.php,web,true,Retargeted to layered web bootstrap
public/ajax/autocomplete.php,web,true,Retargeted to layered web bootstrap
public/ajax/bookmarks.php,web,true,Retargeted to layered web bootstrap
public/ajax/checkport.php,web,true,Retargeted to layered web bootstrap
public/ajax/checkports.php,web,true,Retargeted to layered web bootstrap
public/ajax/cooker_notify.php,web,true,Retargeted to layered web bootstrap
public/ajax/descr_format.php,web,true,Retargeted to layered web bootstrap
public/ajax/ebook_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/emailcheck.php,web,true,Retargeted to layered web bootstrap
public/ajax/imdb_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/isbn_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/like.php,web,true,Retargeted to layered web bootstrap
public/ajax/member_input.php,web,true,Retargeted to layered web bootstrap
public/ajax/namecheck.php,web,true,Retargeted to layered web bootstrap
public/ajax/offer_notify.php,web,true,Retargeted to layered web bootstrap
public/ajax/offer_status.php,web,true,Retargeted to layered web bootstrap
public/ajax/offer_vote.php,web,true,Retargeted to layered web bootstrap
public/ajax/rating.php,web,true,Retargeted to layered web bootstrap
public/ajax/request_notify.php,web,true,Retargeted to layered web bootstrap
public/ajax/request_vote.php,web,true,Retargeted to layered web bootstrap
public/ajax/show_in_navbar.php,web,true,Retargeted to layered web bootstrap
public/ajax/staff_picks.php,web,true,Retargeted to layered web bootstrap
public/ajax/take_upload.php,web,true,Retargeted to layered web bootstrap
public/ajax/take_url_upload.php,web,true,Retargeted to layered web bootstrap
public/ajax/thanks.php,web,true,Retargeted to layered web bootstrap
public/ajax/torrents_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/trivia_answers.php,web,true,Retargeted to layered web bootstrap
public/ajax/trivia_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/tvmaze_lookup.php,web,true,Retargeted to layered web bootstrap
public/ajax/usersearch.php,web,true,Retargeted to layered web bootstrap
public/ajax/view_sql.php,web,true,Retargeted to layered web bootstrap
public/bootstrap_web.php,web,true,Added stub to route nested entrypoints through layered bootstrap
