file,removed_bootstrap_require,legacy_found(mysqli|sql_query|sqlesc|function_*),select_star,exits_removed,side_effects_removed,moved_to_psr4,shims_touched,notes
include/app.php,true,false,false,false,true,false,false,"Container build moved to bootstrap_core; file now returns existing container"
include/bittorrent.php,true,false,false,false,false,false,false,"Added direct-access guard"
include/DB.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/arcade.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class.bencdec.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class.chmod.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_blocks_apis.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_blocks_index.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_blocks_stdhead.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_blocks_userdetails.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_browser.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_user_options.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/class/class_user_options_2.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/cron_controller.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/database.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/emoticons.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_account_delete.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_async.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_autopost.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bbcode.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bemail.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bitbucket.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bluray.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bonus.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_books.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_breadcrumbs.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_bt_client.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_categories.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_chatbot.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_comments.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_common.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_details.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_event.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_fanart.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_get_images.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_happyhour.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_html.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_imdb.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_ircbot.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_newsrss.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_onlinetime.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_pager.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_password.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_polls.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_rating.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_returnto.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_searchcloud.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_staff.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_tfreak.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_tmdb.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_torrent_hover.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_torrenttable.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_translate.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_trivia.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/function_tvmaze.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/geoipregionvars.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/images_update.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/nologip.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/stealth.php,true,false,false,false,false,false,false,"Removed bootstrap require"
include/timezone.php,true,false,false,false,false,false,false,"Removed bootstrap require"
