file,area,stub_type,rehydrated,notes
admin/class_promo.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/comments.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/namechanger.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/reports.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/reputation_ad.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/shit_list.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/sitelog.legacy.php,admin,RuntimeException('Stubbed'),false,
admin/system_view.php,admin,RuntimeException('Stubbed'),false,
admin/warn.php,admin,RuntimeException('Stubbed'),false,

public/coins.php,public,RuntimeException('Stubbed'),false,
public/comment.php,public,RuntimeException('Stubbed'),false,
public/credits.php,public,RuntimeException('Stubbed'),false,
public/friends.php,public,RuntimeException('Stubbed'),false,
public/gift.php,public,RuntimeException('Stubbed'),false,
public/invite.php,public,RuntimeException('Stubbed'),false,
public/messages.php,public,RuntimeException('Stubbed'),false,
public/reputation.php,public,RuntimeException('Stubbed'),false,
public/staffbox.php,public,RuntimeException('Stubbed'),false,
public/takeedit.php,public,RuntimeException('Stubbed'),false,
public/takeeditcp.php,public,RuntimeException('Stubbed'),false,
public/usercp.php,public,RuntimeException('Stubbed'),false,
public/usermood.php,public,RuntimeException('Stubbed'),false,
public/users.php,public,RuntimeException('Stubbed'),true,Rehydrated via PublicSite\\UsersHandler

classes/Http/Handlers/Admin/AcpmanageHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/BackupHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/CommentsHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/DataresetHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/DeathrowHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/FindnotconnectableHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/MassBonusForMembersHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/MegaSearchHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/MemcacheHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/MysqlStatsHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/NamechangerHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/NewsHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/OverForumsHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/PromoHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/ReportsHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/ShitListHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/SiteSettingsHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/SitelogHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/SnatchedTorrentsHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/SystemViewHandler.php,handler-admin,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Admin/UpgradeDatabaseHandler.php,handler-admin,TODO(2025),false,
classes/Http/Handlers/Admin/WarnHandler.php,handler-admin,RuntimeException('Stubbed'),false,

classes/Http/Handlers/Public/Ajax/TorrentsLookupHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/AnnouncementHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/BitbucketHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/BlackjackHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/BotTriggersHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/BugsHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/CatalogHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/CoinsHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/CommentHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/CreditsHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/GiftHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/HnrsHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/InviteHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/MessagesHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/ReputationHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/RequestsHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/RssHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/TakeeditHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/TakeeditcpHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/TakeuploadHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/UsercpHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/UserdetailsHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/UserhistoryHandler.php,handler-public,TODO(2025),false,
classes/Http/Handlers/Public/UsermoodHandler.php,handler-public,RuntimeException('Stubbed'),false,
classes/Http/Handlers/Public/UsersHandler.php,handler-public,RuntimeException('Stubbed'),true,Delegates to PublicSite implementation

